61,850.77,62.955,40,60
91,795.14,102.23,40,60
121,729.68,139.86,40,60
151,670.77,180.77,40,60
181,613.5,228.23,40,60
211,567.68,272.41,40,60
241,518.59,292.05,40,60
271,518.59,301.86,40,60
301,480.95,324.77,40,60
331,480.95,331.32,40,60
361,482.59,318.23,40,60
391,480.95,324.77,40,60
421,477.68,326.41,40,60
451,477.68,326.41,40,60
481,477.68,331.32,40,60
511,482.59,321.5,40,60
541,482.59,318.23,40,60
571,484.23,359.14,40,60
601,485,357,40,60
631,485,366,40,60
61,850.77,62.955,40,60
91,795.14,102.23,40,60
121,729.68,139.86,40,60
151,670.77,180.77,40,60
181,613.5,228.23,40,60
211,567.68,272.41,40,60
241,518.59,292.05,40,60
271,518.59,301.86,40,60
301,480.95,324.77,40,60
331,480.95,331.32,40,60
361,482.59,318.23,40,60
391,480.95,324.77,40,60
421,477.68,326.41,40,60
451,477.68,326.41,40,60
481,477.68,331.32,40,60
511,482.59,321.5,40,60
541,482.59,318.23,40,60
571,484.23,359.14,40,60
601,485,357,40,60
631,485,366,40,60
61,850.77,62.955,40,60
91,795.14,102.23,40,60
121,729.68,139.86,40,60
151,670.77,180.77,40,60
181,613.5,228.23,40,60
211,567.68,272.41,40,60
241,518.59,292.05,40,60
271,518.59,301.86,40,60
301,480.95,324.77,40,60
331,480.95,331.32,40,60
361,482.59,318.23,40,60
391,480.95,324.77,40,60
421,477.68,326.41,40,60
451,477.68,326.41,40,60
481,477.68,331.32,40,60
511,482.59,321.5,40,60
541,482.59,318.23,40,60
571,484.23,359.14,40,60
601,485,357,40,60
631,485,366,40,60
61,850.77,62.955,40,60
91,795.14,102.23,40,60
121,729.68,139.86,40,60
151,670.77,180.77,40,60
181,613.5,228.23,40,60
211,567.68,272.41,40,60
241,518.59,292.05,40,60
271,518.59,301.86,40,60
301,480.95,324.77,40,60
331,480.95,331.32,40,60
361,482.59,318.23,40,60
391,480.95,324.77,40,60
421,477.68,326.41,40,60
451,477.68,326.41,40,60
481,477.68,331.32,40,60
511,482.59,321.5,40,60
541,482.59,318.23,40,60
571,484.23,359.14,40,60
601,485,357,40,60
631,485,366,40,60
61,850.77,62.955,40,60
91,795.14,102.23,40,60
121,729.68,139.86,40,60
151,670.77,180.77,40,60
181,613.5,228.23,40,60
211,567.68,272.41,40,60
241,518.59,292.05,40,60
271,518.59,301.86,40,60
301,480.95,324.77,40,60
331,480.95,331.32,40,60
361,482.59,318.23,40,60
391,480.95,324.77,40,60
421,477.68,326.41,40,60
451,477.68,326.41,40,60
481,477.68,331.32,40,60
511,482.59,321.5,40,60
541,482.59,318.23,40,60
571,484.23,359.14,40,60
601,485,357,40,60
631,485,366,40,60
61,850.77,62.955,40,60
91,795.14,102.23,40,60
121,729.68,139.86,40,60
151,670.77,180.77,40,60
181,613.5,228.23,40,60
211,567.68,272.41,40,60
241,518.59,292.05,40,60
271,518.59,301.86,40,60
301,480.95,324.77,40,60
331,480.95,331.32,40,60
361,482.59,318.23,40,60
391,480.95,324.77,40,60
421,477.68,326.41,40,60
451,477.68,326.41,40,60
481,477.68,331.32,40,60
511,482.59,321.5,40,60
541,482.59,318.23,40,60
571,484.23,359.14,40,60
601,485,357,40,60
631,485,366,40,60
